3,3,3,3,3,3,101,3,3,3,3,3,3,32,28,28,28,31,3,3,3,3,3,3,101,3,3,3,3,3,3
2,3,3,3,3,3,103,105,3,3,3,7,4,28,28,28,28,28,4,8,3,3,3,104,106,3,3,3,3,3,2
2,3,3,3,3,3,3,109,3,7,4,9,3,30,30,30,30,30,3,10,4,8,3,109,3,3,3,3,3,3,2
2,3,3,7,4,4,4,4,4,9,3,3,3,3,3,3,3,3,3,3,3,10,4,4,4,4,4,8,3,3,2
2,3,7,9,2,2,2,107,2,2,2,104,102,102,102,102,102,102,102,105,2,2,2,107,2,2,2,10,8,3,2
2,7,9,2,2,2,2,103,102,102,102,106,2,2,2,2,2,2,2,103,102,102,102,106,2,2,2,2,10,8,2
2,5,2,2,2,2,2,2,2,2,2,2,2,2,34,36,34,2,2,2,2,2,2,2,2,2,2,2,2,5,2
2,5,2,2,2,2,2,2,2,2,133,2,2,3,1,16,1,3,2,2,111,2,2,2,2,2,2,2,2,5,2
2,5,2,2,2,34,3,3,34,2,2,2,34,1,1,16,1,1,34,2,2,2,34,3,3,34,2,2,2,5,2
2,5,2,2,3,1,1,1,1,3,34,3,1,1,34,16,34,1,1,3,34,3,1,1,1,1,3,2,2,5,2
2,5,2,34,1,18,15,15,19,1,1,1,1,39,18,24,19,39,1,1,1,1,18,15,15,19,1,34,2,5,2
2,5,2,3,1,16,44,43,16,1,3,1,34,18,20,38,18,19,34,1,3,1,16,53,54,16,1,3,2,5,2
2,5,2,36,15,23,43,47,25,15,35,15,15,23,38,42,38,25,15,15,35,15,23,57,53,25,15,36,2,5,2
2,5,2,3,1,16,44,43,16,1,3,1,34,21,19,38,18,20,34,1,3,1,16,53,54,16,1,3,2,5,2
2,5,2,34,1,21,15,15,20,1,1,1,1,39,21,22,20,39,1,1,1,1,21,15,15,20,1,34,2,5,2
2,5,2,2,3,1,1,1,1,3,34,3,1,1,34,16,34,1,1,3,34,3,1,1,1,1,3,2,2,5,2
2,5,2,2,2,34,3,3,34,2,2,2,34,1,1,16,1,1,34,2,2,2,34,3,3,34,2,2,2,5,2
2,5,2,2,2,2,2,2,2,2,111,2,2,3,1,16,1,3,2,2,133,2,2,2,2,2,2,2,2,5,2
2,10,8,2,2,2,3,3,2,2,2,2,2,2,34,36,34,2,2,2,2,2,2,3,3,2,2,2,7,9,2
2,2,5,2,3,3,1,1,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,1,1,3,3,2,5,2,2
3,1,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,5,1,3
29,29,28,29,29,29,29,29,29,29,29,1,1,1,1,1,1,1,1,1,29,29,29,29,29,29,29,29,28,29,29
28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28
28,33,28,33,28,28,28,33,33,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,28,28,28,33,28,33,28
28,28,33,28,28,33,28,28,33,28,28,33,33,28,28,33,28,28,33,33,28,28,33,28,28,33,28,28,33,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
