2,35,5,34,1,3,1,39,1,5,1,3,2,2,2
4,27,9,16,3,18,15,23,1,26,3,34,2,2,2
1,34,22,20,1,16,1,34,4,9,1,1,2,2,2
1,1,16,3,34,115,1,2,1,1,1,1,1,3,1
2,1,3,19,1,34,3,1,1,34,1,3,1,1,34
2,2,1,133,15,24,15,116,44,2,3,3,2,34,2
2,3,1,1,2,2,2,2,2,47,1,34,1,1,3
1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
3,1,1,34,1,42,2,2,2,2,2,1,1,3,2
2,34,2,3,3,2,39,116,15,22,15,133,1,2,2
34,1,1,3,1,34,1,1,3,34,1,21,3,1,2
1,3,1,1,1,1,1,2,1,115,34,3,16,1,1
2,2,2,1,1,7,4,34,1,16,1,18,24,34,1
2,2,2,34,3,26,15,17,15,20,3,16,7,27,4
2,2,2,3,1,5,1,44,1,3,1,34,5,35,2
