104,102,102,102,102,105,30,30,30,30,30,30,30,30,104,102,102,102,102,105
101,36,22,22,19,101,102,102,102,102,102,102,102,102,101,18,22,22,36,101
101,25,17,111,23,101,18,15,19,3,3,44,43,47,101,25,111,17,23,101
101,25,111,17,23,114,16,3,21,22,22,17,17,43,101,25,17,111,23,101
101,21,24,24,36,101,2,3,3,25,17,44,24,44,101,36,24,24,20,101
103,102,102,102,102,106,7,4,4,27,27,4,4,8,103,102,113,102,102,106
31,101,42,38,39,7,9,3,18,17,17,19,3,10,8,2,15,19,101,32
31,101,38,17,23,5,3,34,17,34,34,17,34,3,5,3,3,16,101,32
31,101,39,17,39,5,18,17,17,17,17,17,17,19,5,3,18,20,101,32
31,101,3,25,17,27,17,34,17,35,35,17,34,17,27,22,23,3,101,32
31,101,3,25,24,27,17,34,17,35,35,17,34,17,27,17,23,3,101,32
31,101,18,20,3,5,21,17,17,17,17,17,17,20,5,54,17,54,101,32
31,101,16,3,3,5,3,34,17,34,34,17,34,3,5,25,17,53,101,32
31,101,21,15,2,10,8,3,21,17,17,20,3,7,9,54,53,57,101,32
104,102,102,113,102,105,10,4,4,27,27,4,4,9,104,102,102,102,102,105
101,18,22,22,36,101,49,22,49,17,23,3,3,2,101,36,22,22,19,101
101,25,111,17,23,101,48,17,17,24,24,19,3,16,114,25,17,111,23,101
101,25,17,111,23,101,52,48,49,3,3,21,15,20,101,25,111,17,23,101
101,36,24,24,20,101,102,102,102,102,102,102,102,102,101,21,24,24,36,101
103,102,102,102,102,106,29,29,29,29,29,29,29,29,103,102,102,102,102,106
