3,5,2,2,1,28,107,1,1,3,33,3,1,38,34,28,4,111,15,2,28,3,2,3,2,32
2,5,2,2,29,104,106,16,3,1,28,101,34,23,2,28,3,2,1,2,33,3,2,36,2,28
2,5,2,2,28,109,2,16,2,29,3,2,25,23,3,28,107,34,1,3,28,4,2,3,5,33
2,5,2,2,28,3,2,16,2,28,4,2,25,23,1,3,109,1,3,1,28,2,3,34,5,28
2,5,2,2,28,4,3,16,2,28,3,3,38,23,29,4,2,3,2,29,107,2,1,2,5,28
2,5,2,1,28,2,1,16,3,28,3,1,25,36,28,3,2,35,2,28,109,2,1,2,28,3
2,5,2,29,3,2,16,1,1,28,101,1,16,2,28,3,2,3,2,33,3,2,15,2,28,2
2,5,2,28,3,2,43,34,29,3,2,39,34,3,28,101,3,1,3,33,4,34,1,2,28,2
2,14,8,33,3,2,47,2,28,5,2,16,1,1,31,2,1,34,1,28,2,1,1,2,33,2
2,14,12,28,4,3,43,2,28,5,2,16,1,29,28,2,1,2,29,3,2,16,3,1,28,2
2,14,9,28,2,1,16,3,28,3,34,17,34,28,30,2,15,133,28,107,2,16,2,29,3,2
2,5,28,3,2,16,1,1,28,107,1,39,2,33,3,34,1,2,28,109,2,16,2,28,3,2
2,5,28,3,2,44,3,29,3,109,1,1,3,28,101,1,1,3,28,4,3,16,2,33,3,2
2,5,28,3,2,43,2,28,3,2,34,1,1,28,2,1,3,1,28,107,1,16,3,28,3,2
2,2,33,4,34,44,3,33,4,2,16,3,29,28,2,34,2,29,3,109,16,1,1,28,3,2
2,1,28,2,1,16,1,33,3,2,34,2,28,30,3,16,2,28,3,2,54,34,29,3,5,2
2,29,3,2,16,1,1,28,2,3,1,2,28,3,1,34,2,28,3,2,53,2,28,3,5,2
2,28,3,2,16,3,29,3,101,1,1,3,28,101,1,1,3,28,4,3,54,2,28,3,5,2
2,33,3,2,16,2,28,3,2,1,34,1,28,2,39,1,1,28,2,1,16,3,28,3,5,2
2,28,5,2,16,3,33,5,133,15,2,29,28,34,17,34,1,3,101,16,1,1,28,7,12,2
3,28,5,3,16,1,28,5,2,1,2,28,30,1,16,2,29,3,2,53,3,29,3,10,12,2
29,3,2,1,1,1,28,2,34,1,2,28,3,1,16,2,28,5,2,57,2,28,3,2,5,2
28,3,2,1,34,29,3,101,1,3,3,28,101,34,39,2,33,5,34,53,3,28,3,2,5,2
28,3,2,15,2,28,3,2,3,2,1,28,2,16,1,3,28,2,1,16,1,33,5,2,5,2
28,3,2,1,2,28,3,2,35,2,29,28,36,23,1,1,3,101,16,1,1,28,5,2,5,2
28,5,2,1,3,28,4,2,3,2,28,30,25,38,3,29,3,2,16,3,29,3,2,2,5,3
3,5,34,3,1,28,2,3,1,3,33,3,25,23,2,28,4,2,16,2,28,3,2,2,5,29
3,2,3,2,29,3,101,1,34,1,28,101,25,23,2,33,3,2,16,3,28,3,2,2,5,28
3,2,36,2,28,107,2,1,2,1,31,2,25,34,3,28,2,3,16,1,28,4,2,2,5,28
3,2,3,2,28,109,2,15,111,29,28,34,38,1,1,3,101,1,1,1,28,2,2,2,2,28
3,2,34,3,33,4,34,1,2,28,31,1,42,1,29,4,2,1,34,29,3,2,34,2,1,28
