28,28,52,15,22,22,49,3,1,3,1,28,28,28,33,28,28,28,28,28,33,28,28,28,2,2,2,3,1,95
28,28,2,2,49,24,24,19,3,1,35,1,2,28,28,28,33,28,28,28,28,28,28,2,2,91,3,1,92,23
28,28,28,2,2,1,3,21,22,15,23,2,2,3,28,28,28,28,28,33,28,28,2,2,3,1,1,18,24,23
28,33,28,28,2,34,1,3,35,2,16,2,3,2,1,28,28,28,28,28,28,1,3,2,2,1,3,16,1,92
28,28,28,28,28,1,3,2,2,2,21,15,19,7,4,4,28,33,28,28,28,4,8,1,2,2,35,23,3,1
28,28,28,28,28,28,28,28,28,1,3,7,27,9,111,3,28,28,28,28,28,34,10,8,1,18,24,24,92,3
28,28,28,28,33,28,28,28,28,4,4,9,25,22,24,15,15,22,22,22,15,24,15,26,15,20,2,2,1,1
28,28,28,28,28,28,28,28,28,28,2,34,17,36,28,28,28,93,17,111,2,1,3,5,3,1,1,2,3,28
28,28,33,28,28,28,28,28,33,28,28,3,16,28,28,30,28,28,16,3,1,3,1,5,1,3,28,28,28,28
28,28,28,28,28,28,33,28,28,28,28,28,16,28,31,37,32,28,16,28,28,28,28,28,28,28,28,28,28,33
33,28,28,28,28,28,28,28,28,5,2,2,16,28,28,29,28,28,16,28,28,28,33,28,28,28,28,28,28,28
28,28,3,2,2,3,1,1,3,10,8,111,17,36,28,28,28,36,23,2,28,28,28,28,28,28,28,33,28,28
2,2,2,3,2,2,2,18,15,15,26,24,24,17,15,15,15,24,17,19,28,28,28,28,28,28,28,28,28,28
2,2,2,1,3,2,2,16,1,3,10,4,8,34,28,28,28,3,111,17,34,5,28,28,28,33,28,28,28,28
2,3,3,1,1,3,2,16,2,1,1,3,5,28,28,28,28,4,4,27,4,9,1,28,28,28,28,28,28,28
3,1,34,1,3,35,22,23,2,2,2,28,28,28,28,33,28,3,1,16,3,1,3,2,2,2,28,28,33,28
3,1,3,1,1,25,24,35,1,2,2,28,28,28,28,28,28,1,2,21,19,2,2,2,2,2,2,28,28,28
1,1,1,1,3,16,3,1,3,2,28,28,28,28,33,28,28,28,3,2,16,2,35,3,1,34,3,28,28,28
3,39,1,3,18,23,1,3,2,2,28,33,28,28,28,28,28,28,2,2,25,15,24,19,3,1,44,3,44,28
42,24,15,15,24,39,3,2,2,28,28,28,28,28,28,28,33,28,1,3,35,1,3,21,15,15,24,15,24,47
