1,1,3,1,1,1,1,3,1,1,34,1,1,1,1,1,16,3,1,49,1
39,18,15,15,15,15,3,1,34,1,18,15,15,15,15,15,20,1,1,16,1
1,16,1,1,1,1,1,1,21,15,20,3,1,1,1,1,1,49,1,16,1
1,16,39,1,34,1,1,2,2,2,2,2,2,2,3,1,1,1,1,34,15
1,16,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,16,1
15,20,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,34,16,3
3,1,1,1,2,2,2,2,2,111,2,2,2,2,111,2,2,1,1,16,1
1,1,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
1,1,3,2,2,2,2,2,42,2,2,2,52,2,2,2,2,2,1,1,34
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1
1,1,1,2,2,2,2,2,2,2,133,2,2,2,2,2,2,2,1,1,1
3,1,34,2,2,2,111,2,2,2,2,2,2,2,2,2,2,2,1,34,1
34,1,1,2,2,2,2,2,57,2,2,2,47,2,2,2,2,2,18,15,15
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,3,1
15,15,19,1,2,2,2,2,2,2,2,111,2,2,2,2,2,1,16,1,1
1,3,16,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,16,1,34
1,3,16,1,1,2,2,2,2,2,2,2,2,2,2,2,1,7,27,4,4
1,1,16,1,1,1,1,2,2,2,2,2,2,2,1,3,7,9,44,1,34
19,1,16,54,34,34,1,3,1,34,1,1,1,1,7,4,9,1,16,1,1
21,15,24,22,24,20,3,1,1,1,1,18,15,15,26,15,15,15,17,15,44
1,54,1,16,1,1,1,1,1,3,34,16,3,1,5,1,1,1,16,1,1
